Mun,MesoRegiao,Cod_Meso
Perdigão,Oeste de Minas,3109
Perdizes,Triângulo Mineiro / Alto Paranaíba,3105
Perdões,Oeste de Minas,3109
Periquito,Vale do Rio Doce,3108
Pescador,Vale do Rio Doce,3108
Piau,Zona da Mata,3112
Piedade de Caratinga,Vale do Rio Doce,3108
Piedade de Ponte Nova,Zona da Mata,3112
Piedade do Rio Grande,Campo das Vertentes,3111
Piedade dos Gerais,Metropolitana de Belo Horizonte,3107
Pimenta,Oeste de Minas,3109
Pingo-dÁgua,Vale do Rio Doce,3108
Pintópolis,Norte de Minas,3102
Piracema,Oeste de Minas,3109
Pirajuba,Triângulo Mineiro / Alto Paranaíba,3105
Piranga,Zona da Mata,3112
Piranguçu,Sul / Sudoeste de Minas,3110
Piranguinho,Sul / Sudoeste de Minas,3110
Pirapetinga,Zona da Mata,3112
Pirapora,Norte de Minas,3102
Piraúba,Zona da Mata,3112
Pitangui,Metropolitana de Belo Horizonte,3107
Piumhi,Oeste de Minas,3109
Planura,Triângulo Mineiro / Alto Paranaíba,3105
Poço Fundo,Sul / Sudoeste de Minas,3110
Poços de Caldas,Sul / Sudoeste de Minas,3110
Pocrane,Vale do Rio Doce,3108
Pompéu,Central Mineira,3106
Ponte Nova,Zona da Mata,3112
Ponto Chique,Norte de Minas,3102
Ponto dos Volantes,Jequitinhonha,3103
Porteirinha,Norte de Minas,3102
Porto Firme,Zona da Mata,3112
Poté,Vale do Mucuri,3104
Pouso Alegre,Sul / Sudoeste de Minas,3110
Pouso Alto,Sul / Sudoeste de Minas,3110
Prados,Campo das Vertentes,3111
Prata,Triângulo Mineiro / Alto Paranaíba,3105
Pratápolis,Sul / Sudoeste de Minas,3110
Pratinha,Triângulo Mineiro / Alto Paranaíba,3105
Presidente Bernardes,Zona da Mata,3112
Presidente Juscelino,Central Mineira,3106
Presidente Kubitschek,Jequitinhonha,3103
Presidente Olegário,Noroeste de Minas,3101
Prudente de Morais,Metropolitana de Belo Horizonte,3107
Quartel Geral,Central Mineira,3106
Queluzito,Metropolitana de Belo Horizonte,3107
Raposos,Metropolitana de Belo Horizonte,3107
Raul Soares,Zona da Mata,3112
Recreio,Zona da Mata,3112
Reduto,Zona da Mata,3112
Resende Costa,Campo das Vertentes,3111
Resplendor,Vale do Rio Doce,3108
Ressaquinha,Campo das Vertentes,3111
Riachinho,Norte de Minas,3102
Riacho dos Machados,Norte de Minas,3102
Ribeirão das Neves,Metropolitana de Belo Horizonte,3107
Ribeirão Vermelho,Campo das Vertentes,3111
Rio Acima,Metropolitana de Belo Horizonte,3107
Rio Casca,Zona da Mata,3112
Rio do Prado,Jequitinhonha,3103
Rio Doce,Zona da Mata,3112
Rio Espera,Zona da Mata,3112
Rio Manso,Metropolitana de Belo Horizonte,3107
Rio Novo,Zona da Mata,3112
Rio Paranaíba,Triângulo Mineiro / Alto Paranaíba,3105
Rio Pardo de Minas,Norte de Minas,3102
Rio Piracicaba,Metropolitana de Belo Horizonte,3107
Rio Pomba,Zona da Mata,3112
Rio Preto,Zona da Mata,3112
Rio Vermelho,Metropolitana de Belo Horizonte,3107
Ritápolis,Campo das Vertentes,3111
Rochedo de Minas,Zona da Mata,3112
Rodeiro,Zona da Mata,3112
Romaria,Triângulo Mineiro / Alto Paranaíba,3105
Rosário da Limeira,Zona da Mata,3112
Rubelita,Norte de Minas,3102
Rubim,Jequitinhonha,3103
Sabará,Metropolitana de Belo Horizonte,3107
Sabinópolis,Vale do Rio Doce,3108
Sacramento,Triângulo Mineiro / Alto Paranaíba,3105
Salinas,Norte de Minas,3102
Salto da Divisa,Jequitinhonha,3103
Santa Bárbara,Metropolitana de Belo Horizonte,3107
Santa Bárbara do Leste,Zona da Mata,3112
Santa Bárbara do Monte Verde,Zona da Mata,3112
Santa Bárbara do Tugúrio,Campo das Vertentes,3111
Santa Cruz de Minas,Campo das Vertentes,3111
Santa Cruz de Salinas,Norte de Minas,3102
Santa Cruz do Escalvado,Zona da Mata,3112
Santa Efigênia de Minas,Vale do Rio Doce,3108
Santa Fé de Minas,Norte de Minas,3102
Santa Helena de Minas,Vale do Mucuri,3104
Santa Juliana,Triângulo Mineiro / Alto Paranaíba,3105
Santa Luzia,Metropolitana de Belo Horizonte,3107
Santa Margarida,Zona da Mata,3112
Santa Maria de Itabira,Metropolitana de Belo Horizonte,3107
Santa Maria do Salto,Jequitinhonha,3103
Santa Maria do Suaçuí,Vale do Rio Doce,3108
Santa Rita de Caldas,Sul / Sudoeste de Minas,3110
Santa Rita de Ibitipoca,Zona da Mata,3112
Santa Rita de Jacutinga,Zona da Mata,3112
Santa Rita de Minas,Vale do Rio Doce,3108
Santa Rita do Itueto,Vale do Rio Doce,3108
Santa Rita do Sapucaí,Sul / Sudoeste de Minas,3110
Santa Rosa da Serra,Triângulo Mineiro / Alto Paranaíba,3105
Santa Vitória,Triângulo Mineiro / Alto Paranaíba,3105
Santana da Vargem,Sul / Sudoeste de Minas,3110
Santana de Cataguases,Zona da Mata,3112
Santana de Pirapama,Metropolitana de Belo Horizonte,3107
Santana do Deserto,Zona da Mata,3112
Santana do Garambéu,Campo das Vertentes,3111
Santana do Jacaré,Oeste de Minas,3109
Santana do Manhuaçu,Zona da Mata,3112
Santana do Paraíso,Vale do Rio Doce,3108
Santana do Riacho,Metropolitana de Belo Horizonte,3107
Santana dos Montes,Metropolitana de Belo Horizonte,3107
Santo Antônio do Amparo,Oeste de Minas,3109
Santo Antônio do Aventureiro,Zona da Mata,3112
Santo Antônio do Grama,Zona da Mata,3112
Santo Antônio do Itambé,Metropolitana de Belo Horizonte,3107
Santo Antônio do Jacinto,Jequitinhonha,3103
Santo Antônio do Monte,Oeste de Minas,3109
Santo Antônio do Retiro,Norte de Minas,3102
Santo Antônio do Rio Abaixo,Metropolitana de Belo Horizonte,3107
Santo Hipólito,Central Mineira,3106
Santos Dumont,Zona da Mata,3112
São Bento Abade,Sul / Sudoeste de Minas,3110
São Brás do Suaçuí,Metropolitana de Belo Horizonte,3107
São Domingos das Dores,Vale do Rio Doce,3108
São Domingos do Prata,Metropolitana de Belo Horizonte,3107
São Félix de Minas,Vale do Rio Doce,3108
São Francisco,Norte de Minas,3102
São Francisco de Paula,Oeste de Minas,3109
São Francisco de Sales,Triângulo Mineiro / Alto Paranaíba,3105
