REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP,Rede,Taxa de Aprovação - 2017,"IDEB
2017
(N x P)"
3 - Sudeste,31,MG,Mariana,59857,5 - 50001 até 100000,Municipal,"96,6","6,1"
3 - Sudeste,31,MG,Mariana,59857,5 - 50001 até 100000,Pública,"97,7","6,1"
3 - Sudeste,31,MG,Marilac,4254,1 - Até 5000,Municipal,"97,2","5,9"
3 - Sudeste,31,MG,Marilac,4254,1 - Até 5000,Pública,"97,2","5,9"
3 - Sudeste,31,MG,Mário Campos,14988,3 - 10001 até 20000,Estadual,-,-
3 - Sudeste,31,MG,Mário Campos,14988,3 - 10001 até 20000,Municipal,"97,6","6,3"
3 - Sudeste,31,MG,Mário Campos,14988,3 - 10001 até 20000,Pública,"97,6","6,3"
3 - Sudeste,31,MG,Maripá de Minas,2979,1 - Até 5000,Municipal,"98,6","6,4"
3 - Sudeste,31,MG,Maripá de Minas,2979,1 - Até 5000,Pública,"98,6","6,4"
3 - Sudeste,31,MG,Marliéria,4129,1 - Até 5000,Municipal,"99,1","6,4"
3 - Sudeste,31,MG,Marliéria,4129,1 - Até 5000,Pública,"99,1","6,4"
3 - Sudeste,31,MG,Marmelópolis,2900,1 - Até 5000,Municipal,"100,0","7,4"
3 - Sudeste,31,MG,Marmelópolis,2900,1 - Até 5000,Pública,"100,0","7,4"
3 - Sudeste,31,MG,Martinho Campos,13436,3 - 10001 até 20000,Estadual,"100,0","6,9"
3 - Sudeste,31,MG,Martinho Campos,13436,3 - 10001 até 20000,Municipal,"99,2","6,4"
3 - Sudeste,31,MG,Martinho Campos,13436,3 - 10001 até 20000,Pública,"99,6","6,7"
3 - Sudeste,31,MG,Martins Soares,8172,2 - 5001 até 10000,Municipal,"96,2","6,2"
3 - Sudeste,31,MG,Martins Soares,8172,2 - 5001 até 10000,Pública,"96,2","6,2"
3 - Sudeste,31,MG,Mata Verde,8539,2 - 5001 até 10000,Estadual,"99,5","5,9"
3 - Sudeste,31,MG,Mata Verde,8539,2 - 5001 até 10000,Municipal,"94,2",-
3 - Sudeste,31,MG,Mata Verde,8539,2 - 5001 até 10000,Pública,"96,3","5,7"
3 - Sudeste,31,MG,Materlândia,4619,1 - Até 5000,Municipal,"94,7","5,6"
3 - Sudeste,31,MG,Materlândia,4619,1 - Até 5000,Pública,"94,7","5,6"
3 - Sudeste,31,MG,Mateus Leme,30678,4 - 20001 até 50000,Municipal,"93,2","6,2"
3 - Sudeste,31,MG,Mateus Leme,30678,4 - 20001 até 50000,Pública,"93,2","6,2"
3 - Sudeste,31,MG,Matias Barbosa,14449,3 - 10001 até 20000,Municipal,"92,4","5,3"
3 - Sudeste,31,MG,Matias Barbosa,14449,3 - 10001 até 20000,Pública,"92,4","5,3"
3 - Sudeste,31,MG,Matias Cardoso,10999,3 - 10001 até 20000,Estadual,"98,6","5,5"
